,country,hours
217,Turkey,"2,218"
218,Ukraine,"1,955"
219,United Kingdom,"1,427"
220,United Kingdom,"1,633"
221,Canada,"2,396.30"
222,Canada,"1,799.50"
223,Canada,"2,344.80"
224,Canada,"1,476.80"
225,Canada,"2,051.00"
226,Canada,"2,066.40"
227,Canada,"1,937.60"
228,Canada,"1,827.10"
229,Canada,"2,352.90"
230,Honduras,"2,259.80"
231,Mexico,"3,148"
232,Mexico,"2,555"
233,Mexico,"2,239"
234,Mexico,"2,443"
235,Nicaragua,"2,759.90"
236,Panama,"1,743.50"
237,Puerto Rico,"2,963.80"
238,El Salvador,"2,957"
239,Saint Pierre and Miquelon,"1,427.30"
240,United States,"3,415.40"
241,United States,"2,061.20"
242,United States,"1,530.70"
243,United States,"2,738.30"
244,United States,"2,643.70"
245,United States,"2,581.70"
246,United States,"2,993.40"
247,United States,"2,633.60"
248,United States,"2,821.00"
249,United States,"2,508.40"
250,United States,"2,280.00"
251,United States,"2,182.60"
252,United States,"2,849.70"
253,United States,"3,106.60"
254,United States,"2,435.90"
255,United States,"3,762.50"
256,United States,"3,564.20"
257,United States,"3,035.90"
258,United States,"2,577.90"
259,United States,"2,440.40"
260,United States,"2,879.70"
261,United States,"2,809.90"
262,United States,"3,825.30"
263,United States,"3,254.20"
264,United States,"2,514.40"
265,United States,"2,888.30"
266,United States,"3,154.00"
267,United States,"2,483.60"
268,United States,"2,710.70"
269,United States,"2,510.10"
270,United States,"2,648.90"
271,United States,"2,534.70"
272,United States,"3,089.40"
273,United States,"2,726.90"
274,United States,"2,498.40"
275,United States,"3,871.60"
276,United States,"2,021.30"
277,United States,"2,340.90"
278,United States,"2,606.30"
279,United States,"2,829.00"
280,United States,"3,607.80"
281,United States,"3,029.40"
282,United States,"2,629.20"
283,United States,"3,054.60"
284,United States,"3,061.70"
285,United States,"2,169.70"
286,United States,"2,593.70"
287,United States,"2,926.50"
288,United States,"3,806.00"
289,United States,"2,786.00"
290,United States,"2,695.10"
291,United States,"2,527.70"
292,United States,"2,922.40"
293,United States,"4,015.30"
294,Argentina,2525.2
295,Argentina,1281.2
296,Argentina,2871.7
297,Argentina,2283.2
298,Argentina,2533.9
299,Bolivia,2288.9
300,Brazil,2003.3
301,Brazil,2363.3
302,Brazil,2181.1
303,Brazil,2843.4
304,Brazil,1828.5
305,Brazil,2006.2
306,Colombia,1328
307,Colombia,2561
308,Colombia,1892.2
309,Colombia,1941.9
310,Colombia,1178
