Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lithuania,,,,,,182.2,227.3,255.6,301.9,304.8,259.7,254.8,277.6,351.4,414.1,459.8,543.9,715.4,916.6,830.6,763.3,826.7,785.3,855.8,897.7,791.6,856.3,948.3
Luxembourg,2848.9,2956,3239.1,3114.5,3295.8,3681.6,3678.4,3379,3406.4,3380.5,3118.3,3114.4,3403.8,4144.2,4725.1,4885.6,5123,5866.4,6466.2,6271.1,6084.7,6485.1,6056.7,6427,6594.6,5674.9,5670.1,5988.8
Malta,,,,,,,1522.6,1417.8,1469.4,1466.4,941.2,962,1032.7,1294,1445.3,1485.7,1558.6,1752,1923.7,2418.9,2100.8,2262,,,,,,
Montenegro,,,,,,,,,,,,,,306.6,376.7,406.2,543.7,681.1,895.7,896.9,947.9,1005,934,964.2,960.5,804.4,831.3,864.2
Netherlands,2584.8,2625,2849.3,2671.4,2802.9,3085.8,3041.3,2785.3,2714.9,2677.8,2452.8,2494.1,2733.4,3369,3818,3888.2,4024.7,4545,5011.8,4886.9,4718.6,5025.3,4715.8,4992.2,5012.4,4241.9,4276.7,4401.6
North Macedonia,,,,,,,,,,297.8,273,263,295,368.4,421.2,433,472.7,540.7,629.7,681.1,651.4,692.4,640.4,669.1,675.3,579.3,589.8,618
Norway,2463.1,2490.5,2694.4,2433.2,2527,2900.6,2945.4,2813.5,2799.9,2854.9,2630.8,2695,3214.7,3756.1,4125.7,4485,4767.1,5515.9,6107.2,5651.2,6061.4,6830.6,6823.6,7031.3,6742.8,5408.5,5279.6,5492
Poland,,,304.2,308.2,330.8,408.5,469.1,464.6,496,504.1,509.3,591.4,612.2,653.4,709,812,865.6,1019.2,1297,1022.8,1124,1200.6,1117.4,1169.4,1195.9,1009.1,1008.1,1122.5
Portugal,,,,,,1056.6,1094,1033,1059.6,1067.5,972.6,983.2,1073.8,1327.4,1496.2,1544.9,1579.3,1794.4,1972.9,1920,1850.7,1928.6,1734.6,1844.3,1818.2,1529,1552.1,1604.3
Republic of Moldova,,,,,,31.8,40.6,47.5,46.6,29,32.8,42.3,51,63.9,89.5,104.7,129.2,170.1,243.5,247.4,240.3,259.2,279.6,291.9,291.4,241.2,250.8,302
Romania,,80.8,43.1,83.9,100.5,128.6,120.7,110.5,152.4,127.7,133.4,147.5,164.9,203.1,253.7,331.9,409.5,579.2,689.6,624.4,609.5,667.2,614.8,673.5,705.6,638.8,711.6,819.4
Russian Federation,,,,59.2,,,154.3,164.3,108.4,61.8,79,111.1,139.1,179.2,233.9,302.5,391.1,531.4,695.7,587.2,689.9,795.3,863.5,935.8,,,,
Serbia,,,,,,,,232.5,153.8,87.2,69.5,129.1,205.9,288.5,352.1,382.4,472.8,662.8,819.6,653.2,610.4,719.1,652.8,712.9,694.8,561.9,570.4,612.3
Slovakia,,,,,255.2,330.1,362.9,384.5,418,427.4,416,425.6,486.8,634.4,760.3,831.9,909.7,1081.4,1224.6,1201.1,1203.8,1301.3,1228.6,1296.6,1321,1142.8,1174.7,1242.7
Slovenia,,,,,,,,,,,,,1076.8,1383.9,1644.6,1744.6,1860.5,2160.4,2485.2,2400,2385.3,2537.9,2307.1,2402.1,2441,2066.4,2118.5,2230.9
Spain,1249.6,1326.2,1522.2,1457.3,1556.4,1786.3,1810,1662.8,1673.5,1618.8,1435,1439.9,1573.7,1937,2184.3,2271.8,2366.7,2704,3125.9,3137.7,2988.5,3168.6,2909.2,3045.4,3052,2606.9,2589.2,2642
Sweden,2268.2,2333.8,2561.8,1987.6,2114.2,2354.9,2658.1,2453.8,2430.1,2434.4,2279.2,2071.3,2260.1,2792.7,3189.6,3232.3,3391,3877.2,4184.9,3697.9,3995.7,4561.6,4486.6,4748.2,4611.8,3843.7,3889.4,3990.4
Switzerland,3269.8,3389.6,3728.3,3661,4013.5,4698.4,4581.4,3990.8,4011.3,3935.4,3575.9,3730.8,4103.7,4769.4,5152.2,5273,5334.4,5733.3,6520.2,6592.8,6900.1,8122.8,7719,7889.3,7999.2,7540.7,7338.9,7351.7
Tajikistan,,,8.2,15.6,14.2,7.5,10.1,8.8,11.8,9.4,7.7,10.1,11.9,14.7,20.9,27,35.2,47.4,67.6,68.6,80.8,95.9,117.2,145.9,165.3,142.6,,
Turkey,,,,,,,,,,,,,,,801.4,,765.8,,1155.7,,1004,,1246.9,,1008.9,,1095.6,
Turkmenistan,,,,,54.9,68,22.2,44.8,55.5,63.6,114.8,168.9,182.7,336.5,,484.6,,487.6,260.9,237.8,260.6,297.5,331,367.4,404.5,360.9,394.5,
Ukraine,,,,35.9,43.6,49.8,68.8,76.9,62.7,43,42.3,57.9,70.6,86.6,110.9,157.3,206.1,267.5,342.9,244.6,283.5,332.4,380.6,410.6,292.8,192,202.8,267.1
United Kingdom,2062,2231.1,2351.8,2083.7,2199.4,2335.5,2387.3,2629.7,2825.6,2879.5,2842.9,2847.7,3039.2,3432.6,3998.6,4039.8,4302.8,4908.7,4584.7,3987.3,4009.9,4206.3,4218.1,4266.4,4543.9,4276,3879.9,3776
United States,2231,2321.2,2438.3,2484.7,2526.8,2595,2689,2803.7,2942.3,3064.3,3247,3337.4,3408.1,3516.2,3671.7,3780.3,3945,4124.3,4233.4,4267.2,4365.4,4483.8,4605.5,4646.3,4784.2,4915.1,4973.4,5046.5
Uzbekistan,,,,,24.8,35.4,53,48.7,47.3,57.2,,39.3,39.2,41.3,52.2,,,,,,,0.5,0.6,0.6,0.6,0.6,0.6,0.4
